,Year,Brand,Name,Device,Form Factor,Architecture,Synthesis,Synthesis Details,Polyphony,Oscillators,Multitimbral,Keys,MIDI,Memory,Key type,Velocity,Aftertouch,Produced,Duration,Fame
2048,2017,Roland,Roland - Spd-One Wav Pad,Drum,Desktop,Digital,Digital,Sample,1,0,3,0,True,,Pad,True,False,2017 - Present,8,0.1291879954239403
2049,2017,Landscape,Landscape - Stereo Field,Synth,Desktop,Analog,Analog,VCO,2,2,1,0,False,,Touchplate,False,False,2017 - Present,8,0.1600652259658099
2050,2017,Novation,Novation - Peak,Synth,Desktop,Digital,Digital,"VA, WT",8,3,1,0,True,True,,False,,2017 - Present,8,0.5142585768863183
2051,2017,Dreadbox,Dreadbox - Nyx,Synth,Desktop,Analog,Analog,VCO,2,2,0,0,True,,,False,,2017 - 2018,1,0.1867251057350606
2052,2017,Waldorf,Waldorf - Quantum,Synth,Keys,Digital,Digital,"Wave, WT, Granular, Resonator",8,3,8,61,True,True,Keys,True,channel,2017 - 2021,4,0.2995135266292374
2053,2017,Korg,Korg - Kross 2 61,Synth,Keys,Digital,Digital,"PCM, Sample",120,2,16,61,True,True,Keys,True,False,2017 - Present,8,0.1900549909082652
2054,2017,Korg,Korg - Kronos Ls 88,Synth,Keys,Digital,Digital,9 Engines,200,200,16,88,True,True,"Keys, Synth action",True,False,2017 - Present,8,0.2226067654238261
2055,2017,Korg,Korg - Arp Odyssey Rev 2 Fs,Synth,Keys,Analog,Analog,VCO,2,2,1,37,True,,Keys,False,False,2017 - 2022,5,0.1910590179840589
2056,2017,Mellotron,Mellotron - M4000D Micro Kb,Synth,Keys,Digital,Digital,PCM,20,1,2,25,True,,Keys,True,channel,2017 - Present,8,0.1856334462181445
2057,2017,Dreadbox,Dreadbox - Abyss,Synth,Desktop,Analog,Analog,VCO,4,1,4,0,True,,,False,,2017 - 2019,2,0.1824682424413228
2058,2017,Teenage Engineering,Teenage Engineering - Op-Z,Synth,Desktop,Digital,Digital,Digital,16,16,16,0,True,True,Buttons,False,False,2017 - Present,8,0.5501076244447872
2059,2017,Malekko Heavy Industry,Malekko Heavy Industry - Manther,Synth,Desktop,Analog,Analog,VCO,1,1,1,0,True,,Buttons,False,False,2017 - Present,8,0.188113561339962
2060,2017,Korg,Korg - Vox Continental 61,Synth,Keys,Digital,Digital,"PCM, PM, VA",128,2,4,61,True,True,Keys. Hammer action,True,channel,2017 - 2022,5,0.2817506926764514
2061,2017,Korg,Korg - Vox Continental 73,Synth,Keys,Digital,Digital,"PCM, PM, VA",128,2,4,73,True,True,Keys. Hammer action,True,channel,2017 - 2022,5,0.2158653004805639
2062,2017,Sonicsmith,Sonicsmith - P1,Synth,Desktop,Analog,Analog,VCO,1,2,0,0,False,,,False,,2017 - 2019,2,0.2424160871658838
2063,2017,Synthesizers.com,Synthesizers.Com - Tb22++ Thought Box,Synth,Desktop,Analog,Analog,VCO,3,3,3,0,True,,,False,,2017 - Present,8,0.0009039723557811
2064,2017,Yamaha,Yamaha Mx88,Synth,Keys,Digital,Sample-based,Sample,128,0,0,88,True,True,,True,False,2017 - Present,8,0.1337689020855544
2065,2017,Malekko Heavy Industry,Malekko Heavy Industry - Bff,Synth,Desktop,Digital,Digital,WT,4,1,4,0,True,,Buttons,False,False,2017 - 2018,1,0.2199129357976977
2066,2017,Korg,Korg Kross 2 61,Synth,Keys,Digital,Sample-based,Sample,120,0,0,61,True,True,,True,False,2017 - Present,8,0.1953709390534054
2067,2017,Skot Wiedmann,Skot Wiedmann - Hyve Touch Synth,Synth,Desktop,Analog,Analog,DCO,30,1,1,0,False,,Touch plates,False,poly,2017 - 2021,4,0.200524120374075
2068,2017,Korg,Korg - Kross 2 88,Synth,Keys,Digital,Digital,"PCM, Sample",120,2,16,88,True,True,"Keys, Semi weighted",True,False,2017 - Present,8,0.1861446675159092
2069,2017,MFB,Mfb - Dominion Club,Synth,Desktop,Analog,Analog,Hybrid,1,3,1,0,True,,,False,,2017 - 2021,4,0.1829137007335881
2070,2017,Digitana Electronics,Digitana Electronics - Halia,Synth,Desktop,Digital,Digital,"VA, FM",1,2,0,0,True,,,False,,2017 - 2017,0,0.0743739576854651
2071,2017,Dave Smith Instruments (DSI),Dave Smith Instruments (Dsi) - Rev2 Desktop,Synth,Desktop,Analog,Analog,DCO,16,2,2,0,True,True,,False,,2017 - Present,8,0.2113056387792637
2072,2017,Modor,Modor - Nf-1M,Synth,Desktop,Digital,Digital,VA,8,1,1,0,True,True,,False,,2017 - Present,8,0.238429641535608
